species,freq_khz,mean_TS,se_TS
SMB,103.5,-48.090351384005885,0.05685156767355771
SMB,104,-48.06102393073027,0.05724621419346552
SMB,104.5,-48.080628346185264,0.05771850526484739
SMB,105,-48.18586134030387,0.05857354263963328
SMB,105.5,-48.287116958830254,0.05901154500957884
SMB,106,-48.32994727225943,0.05955092910494475
SMB,106.5,-48.228161904264006,0.05919376716898856
SMB,107,-48.07650965879758,0.059681736965044835
SMB,107.5,-48.003885737216144,0.05970005759157471
SMB,108,-48.067225711566735,0.05976283288551587
SMB,108.5,-48.19108409165169,0.060047795000462915
SMB,109,-48.28419736423787,0.06018606569677509
SMB,109.5,-48.27727778426728,0.06047155061738162
SMB,110,-48.145675572292106,0.05971011305742122
SMB,110.5,-48.01524597827152,0.059281530357449944
SMB,111,-47.90678167979088,0.05913771857956761
SMB,111.5,-47.8899583010129,0.0593619595924679
SMB,112,-47.90127968273158,0.059010523471744604
SMB,112.5,-47.89592701364156,0.058894604050549186
SMB,113,-47.814316562489786,0.05845625326872724
SMB,113.5,-47.65982800604476,0.05854949564121539
SMB,114,-47.510384543865385,0.0587040370837293
SMB,114.5,-47.518882358274794,0.05904944812659721
SMB,115,-47.588086507025,0.05922278752964227
SMB,115.5,-47.454041808446334,0.06000950718031191
SMB,116,-47.281565409083484,0.06116827215425356
SMB,116.5,-47.44773297467734,0.06051237427778975
SMB,117,-47.5547588687306,0.060276681614297674
SMB,117.5,-47.484072190573436,0.05998957291158328
SMB,118,-47.44774865324293,0.06020193882649283
SMB,118.5,-47.39963192689103,0.06101658458322677
SMB,119,-47.33661394853782,0.0608719140997122
SMB,119.5,-47.3142362666231,0.060978269606044466
SMB,120,-47.262564046070906,0.06155305604630947
SMB,120.5,-47.22707973599085,0.06126853813828733
SMB,121,-47.14434584977945,0.060286010985381965
SMB,121.5,-47.0926981359255,0.059984219354981466
SMB,122,-47.09135107580461,0.059889511277142225
SMB,122.5,-47.101806655693515,0.060398295980671673
SMB,123,-47.08758158952786,0.06026704559983048
SMB,123.5,-47.0749870898546,0.059906087897598985
SMB,124,-47.03572100073517,0.059616983101776364
SMB,124.5,-46.99602645196863,0.05929013520599616
SMB,125,-46.97029943530469,0.05931450776028309
SMB,125.5,-46.910019974513965,0.05915626953294532
SMB,126,-46.87457932935795,0.05896014890720132
SMB,126.5,-46.85231189928116,0.05879050019391939
SMB,127,-46.84013448954419,0.05860549989277206
SMB,127.5,-46.87840610406796,0.05848496708681166
SMB,128,-46.90536138253553,0.058939489476332665
SMB,128.5,-46.901220612971734,0.05915241714426349
SMB,129,-46.911771409573596,0.0596718447240752
SMB,129.5,-46.90293496405816,0.060813676217547144
SMB,130,-46.91444903708545,0.06150541332459516
SMB,130.5,-46.91728392117301,0.061859922322754696
SMB,131,-46.91025405325927,0.062257800814916844
SMB,131.5,-46.93206160284267,0.0616252519131493
SMB,132,-46.9556661429505,0.06147743109030475
SMB,132.5,-46.99480806208136,0.06153664700844244
SMB,133,-46.991963621385395,0.06061339487878447
SMB,133.5,-46.92981270617546,0.06068754196751298
SMB,134,-46.92504058642379,0.061670133473273915
SMB,134.5,-46.935081260823395,0.06233930138778968
SMB,135,-46.93365739192942,0.06243953300476347
SMB,135.5,-46.93478427936612,0.06247113064026652
SMB,136,-46.95798996405816,0.06269477280950103
SMB,136.5,-46.97415792076458,0.06269152434587896
SMB,137,-47.00937005048195,0.06372353960325892
SMB,137.5,-47.168635610766216,0.06299679134666271
SMB,138,-47.28512603218428,0.06250631852890948
SMB,138.5,-47.22710826000654,0.06274699444951738
SMB,139,-47.24640088465937,0.06362244772453941
SMB,139.5,-47.27045802630289,0.06391781012737643
SMB,140,-47.3119647911289,0.06432482461644505
SMB,140.5,-47.4262546061918,0.06413327530910747
SMB,141,-47.514321376327395,0.06419313999633482
SMB,141.5,-47.56531121164842,0.06467778579728428
SMB,142,-47.57235215005718,0.06501175905277289
SMB,142.5,-47.59667410553831,0.06463347143326653
SMB,143,-47.689244018052605,0.06491122511333336
SMB,143.5,-47.83836189462506,0.06557815493914351
SMB,144,-47.97515945180526,0.06572961228022513
SMB,144.5,-48.03898154500899,0.06608563406082987
SMB,145,-48.031197946740726,0.06593612550352372
SMB,145.5,-47.99720655170724,0.06653665981175089
