species,quintile,freq_khz,mean_TS,se_TS
LT,q80,95,-41.391261432,0.6554368104239133
LT,q80,95.5,-41.52836804,0.6492076910135602
LT,q80,96,-41.641814335999996,0.6418592673857079
LT,q80,96.5,-41.74377872,0.6373016257008902
LT,q80,97,-41.836694048,0.6431203844596856
LT,q80,97.5,-41.86659012,0.6306224046132781
LT,q80,98,-41.875425288,0.6260587358992695
LT,q80,98.5,-41.873715528,0.6332988989479343
LT,q80,99,-41.870229888,0.6399722308909176
LT,q80,99.5,-41.933519728,0.6541310508416353
LT,q80,100,-42.109526608,0.6623038196482498
LT,q80,100.5,-42.23523452,0.6713740486824219
LT,q80,101,-42.28187492,0.6735601011607131
LT,q80,101.5,-42.300954352,0.6609352279142002
LT,q80,102,-42.277289736,0.6556104183445686
LT,q80,102.5,-42.276860016,0.6649213328248916
LT,q80,103,-42.304112992,0.6520804513193559
LT,q80,103.5,-42.300231624,0.6494477245471953
LT,q80,104,-42.273159104,0.6371860364865889
LT,q80,104.5,-42.318622872,0.6433153507384666
LT,q80,105,-42.376308096,0.6362880864964227
LT,q80,105.5,-42.476304752,0.6375336515396739
LT,q80,106,-42.490617096,0.6296759155892311
LT,q80,106.5,-42.39533056,0.6295620328983759
LT,q80,107,-42.256547648,0.6223982705915238
LT,q80,107.5,-42.106275368,0.6151749655790258
LT,q80,108,-42.049553368,0.6062121266429544
LT,q80,108.5,-42.087843991999996,0.595234980570116
LT,q80,109,-42.120497952,0.5979919020304807
LT,q80,109.5,-42.06033016,0.6119084700199833
LT,q80,110,-42.060674032,0.6029467163804344
LT,q80,110.5,-42.035363944,0.6020268478301902
LT,q80,111,-41.963693912,0.5946393243491247
LT,q80,111.5,-41.9769514,0.5966901854741528
LT,q80,112,-41.991426736,0.6027486626593065
LT,q80,112.5,-42.065579968,0.601346742515557
LT,q80,113,-42.065550072,0.5872711025976033
LT,q80,113.5,-41.996197344,0.5715733014999855
LT,q80,114,-41.910332984,0.5529740511639876
LT,q80,114.5,-41.834424184,0.5555580873666687
LT,q80,115,-41.808183232,0.5602130472000643
LT,q80,115.5,-41.87324376,0.5681328739168594
LT,q80,116,-41.843129272,0.5634425972380372
LT,q80,116.5,-41.82146124,0.5596222991334979
LT,q80,117,-41.828121431999996,0.5643335586666983
LT,q80,117.5,-41.826971336,0.5609119516920624
LT,q80,118,-41.864638072,0.5675361152367607
LT,q80,118.5,-41.865812104,0.5623655577269486
LT,q80,119,-41.917998536,0.570093529202818
LT,q80,119.5,-41.88879472,0.5651208453150207
LT,q80,120,-41.852802464,0.5743920302122247
LT,q80,120.5,-41.770749208,0.5791266068997463
LT,q80,121,-41.706876615999995,0.5806448385526848
LT,q80,121.5,-41.688361344,0.5980332179631418
LT,q80,122,-41.73928684,0.583840335830657
LT,q80,122.5,-41.753696624,0.596979114141064
LT,q80,123,-41.764306552,0.592132477989229
LT,q80,123.5,-41.724331991999996,0.5845873145071554
LT,q80,124,-41.674368656,0.5691883348995829
LT,q80,124.5,-41.589339328,0.5641451161130168
LT,q80,125,-41.446017688,0.5645501813322739
LT,q80,125.5,-41.339653991999995,0.5547180006226783
LT,q80,126,-41.329007984,0.5555909803223624
LT,q80,126.5,-41.310172792,0.5524554100613159
LT,q80,127,-41.369872584,0.5586062295115499
LT,q80,127.5,-41.464357303999996,0.5654621313604644
LT,q80,128,-41.468031839999995,0.5668451472630223
LT,q80,128.5,-41.364989632000004,0.5739349624405288
LT,q80,129,-41.285627712,0.5737793114447557
LT,q80,129.5,-41.188692096,0.5636460087120103
LT,q80,130,-41.182571528,0.5771843019531835
LT,q80,130.5,-41.226531304,0.576480099099425
LT,q80,131,-41.307310128,0.5841055561718239
LT,q80,131.5,-41.345247056,0.5863584430509611
LT,q80,132,-41.403895392,0.5663343333535229
LT,q80,132.5,-41.39722852,0.5513666626027024
LT,q80,133,-41.3785762,0.5423281355085816
LT,q80,133.5,-41.364465312,0.5343076963337491
LT,q80,134,-41.458756592,0.5307980310855626
LT,q80,134.5,-41.581299896,0.5447187555548076
LT,q80,135,-41.633538544,0.5545239392121692
LT,q80,135.5,-41.728359536,0.5715265002796049
