qnum,freq_khz,mean_TS,se_TS,quintile
3,164,-42.81548314035088,0.4552839800068944,Q3
3,164.5,-42.76049884561404,0.43319434904637166,Q3
3,165,-42.621947133333336,0.42995250219359105,Q3
3,165.5,-42.4888992877193,0.42353648041249337,Q3
3,166,-42.459014207017546,0.4196827021456676,Q3
3,166.5,-42.65666627368421,0.41860995794282635,Q3
3,167,-42.96034928421053,0.4161928010854441,Q3
3,167.5,-43.33183118947368,0.43444970341288625,Q3
3,168,-43.704999842105266,0.44868484654729035,Q3
3,168.5,-43.82730592631579,0.4716585215592578,Q3
3,169,-43.94177837192982,0.4866923232100031,Q3
3,169.5,-44.125403596491225,0.47720213059770755,Q3
3,170,-44.402876936842105,0.4757118971386862,Q3
4,45,-52.06995176491228,0.5454581775202554,Q4
4,45.5,-51.95370162105263,0.5441443249476176,Q4
4,46,-51.81811498245614,0.54710709751888,Q4
4,46.5,-51.38546349824561,0.5407835666663382,Q4
4,47,-51.42554063157895,0.5416519916582891,Q4
4,47.5,-51.26536797543859,0.5345676021588809,Q4
4,48,-51.2744946877193,0.5354346309838567,Q4
4,48.5,-51.13495323157895,0.5318937646172113,Q4
4,49,-50.885779792982454,0.5325392471127507,Q4
4,49.5,-50.580918971929826,0.5269900915719856,Q4
4,50,-50.27029215438596,0.5228873845502361,Q4
4,50.5,-50.00810124210526,0.5160062048660703,Q4
4,51,-49.77566180350877,0.509005937646987,Q4
4,51.5,-49.66052357894737,0.49693074792673964,Q4
4,52,-49.534113449122806,0.4823913111137142,Q4
4,52.5,-49.42404208421053,0.47320587860918856,Q4
4,53,-49.25621084912281,0.4719471716513107,Q4
4,53.5,-49.142814119298244,0.47737146349132253,Q4
4,54,-48.901327719298244,0.48518174388719465,Q4
4,54.5,-48.804883719298246,0.4935322458890811,Q4
4,55,-48.76189870175438,0.4987656883439239,Q4
4,55.5,-48.703378407017546,0.5078106398560838,Q4
4,56,-48.57349301754386,0.5126921844998447,Q4
4,56.5,-48.425849105263154,0.5140934486233766,Q4
4,57,-48.22061432631579,0.519693896942292,Q4
4,57.5,-48.05710146315789,0.5248564419645597,Q4
4,58,-47.86062105964912,0.5350162743552882,Q4
4,58.5,-47.72294347368421,0.529111708725895,Q4
4,59,-47.5612979122807,0.5235317513938528,Q4
4,59.5,-47.341150266666666,0.5206440423265722,Q4
4,60,-47.095430610526314,0.5154232234287249,Q4
4,60.5,-46.77815815789474,0.5005766972025406,Q4
4,61,-46.5950907754386,0.4909575330412549,Q4
4,61.5,-46.41452522105263,0.48878955512692285,Q4
4,62,-46.228113396491224,0.4882340275401981,Q4
4,62.5,-46.10267780701754,0.4882502985347986,Q4
4,63,-45.93372634736842,0.49160097216713927,Q4
4,63.5,-45.76624838947368,0.4849363176894627,Q4
4,64,-45.63822540701754,0.486008592988883,Q4
4,64.5,-45.47745050526316,0.48090792558547724,Q4
